Watek 1 | 1 | 42.000000
Watek 1 | 2 | 55.000000
Watek 1 | 3 | 48.333332
Watek 1 | 4 | 36.500000
Watek 1 | 5 | 43.200001
Watek 3 | 1 | 42.000000
Watek 3 | 2 | 55.000000
Watek 3 | 3 | 48.333332
Watek 3 | 4 | 36.500000
Watek 3 | 5 | 43.200001
Watek 2 | 1 | 42.000000
Watek 2 | 2 | 55.000000
Watek 2 | 3 | 48.333332
Watek 2 | 4 | 36.500000
Watek 2 | 5 | 43.200001
Watek 4 | 1 | 42.000000
Watek 4 | 2 | 55.000000
Watek 4 | 3 | 48.333332
Watek 4 | 4 | 36.500000
Watek 4 | 5 | 43.200001
Watek 5 | 1 | 42.000000
Watek 5 | 2 | 55.000000
Watek 5 | 3 | 48.333332
Watek 5 | 4 | 36.500000
Watek 5 | 5 | 43.200001
